SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
assay measuring binding of a T cell epitope:MHC:TCR complex	T cell binding|any method	An immune epitope assay that detects T cell epitope recognition.	equivalent to	immune epitope assay					('MHC:epitope complex binding to TCR' or ('process is result of' some 'MHC:epitope complex binding to TCR'))					IEDB	IEDB
ELISPOT assay measuring epitope specific interferon-gamma production by T cells	IFNg release|ELISPOT	An assay of epitope specific interferon-gamma production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interferon-gamma production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring qualitiative binding of a T cell epitope:MHC:TCR complex	qualitative binding|binding assay	A T cell epitope recognition assay that qualitatively detects MHC:epitope complex binding to TCR.	equivalent to	assay measuring binding of a T cell epitope:MHC:TCR complex					MHC:epitope complex binding to TCR					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring MHC ligand processing and presentation	ligand presentation|any method	A MHC ligand assay that determines what ligands are processed and loaded onto MHC molecules by eluting ligands and identifying them.	equivalent to	MHC ligand assay				cell	('MHC protein complex binding to ligand' and ('process is result of' some 'antigen processing and presentation'))					IEDB	IEDB
assay measuring binding of a MHC:ligand complex	MHC binding|binding assay	A MHC ligand assay that detects the binding of a ligand to an MHC molecule.	equivalent to	MHC ligand assay					('MHC protein complex binding to ligand' and (not ('process is result of' some 'antigen processing and presentation')))					IEDB	IEDB
assay measuring binding of a B cell epitope:antibody complex	antibody binding|any method	An immune epitope assay that detects B cell epitope recognition.	equivalent to	immune epitope assay					('immunoglobulin binding to epitope' or ('process is result of' some 'immunoglobulin binding to epitope'))					IEDB	IEDB
immune epitope assay	immune epitope assay	An assay that detects the binding of an epitope to an adaptive immune receptor or a immune response process resulting from such a binding event	subclass of	assay										IEDB	IEDB
biological activity assay measuring epitope specific cytokine production by T cells	cytokine release|biological activity	A T cell epitope dependent biological activity assay that detects cytokine production.	subclass of	assay measuring T cell epitope specific biological activity					cytokine production					IEDB	IEDB
biological activity assay measuring epitope specific T cell killing	cytotoxicity|biological activity	A T cell epitope dependent biological activity assay that detects the killing of an antigen presenting cell (APC) by a T cell whose TCR recognizes an epitope presented by the APC.	equivalent to	assay measuring T cell epitope specific biological activity	cell-cell killing assay				T cell mediated cytotoxicity					IEDB	IEDB
biological activity assay measuring epitope specific proliferation of T cells	proliferation|biological activity	A T cell epitope dependent biological activity assay that detects T cell proliferation.	equivalent to	assay measuring T cell epitope specific biological activity	cell proliferation assay				T cell proliferation					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
51 chromium assay measuring epitope specific T cell killing	cytotoxicity|51 chromium	A T cell epitope specific killing assay performed in vitro that uses a chromium release assay.	equivalent to	in vitro assay measuring epitope specific T cell killing	chromium release assay									IEDB	IEDB
ELISA measuring epitope specific interferon-gamma production by T cells	IFNg release|ELISA	An assay of epitope specific interferon-gamma production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interferon-gamma production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-2 production by T cells	IL-2 release|ELISA	An assay of epitope specific interleukin-2 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-2 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-4 production by T cells	IL-4 release|ELISA	An assay of epitope specific interleukin-4 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-4 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-5 production by T cells	IL-5 release|ELISA	An assay of epitope specific interleukin-5 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-5 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific tumor necrosis factor production by T cells	TNFa release|ELISA	A T cell epitope specific tumor necrosis factor production assay that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-10 production by T cells	IL-10 release|ELISA	An assay of epitope specific interleukin-10 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-10 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	GM-CSF release|ELISA	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-6 production by T cells	IL-6 release|ELISA	An assay of epitope specific interleukin-6 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-6 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-13 production by T cells	IL-13 release|ELISA	An assay of epitope specific interleukin-13 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-13 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-12 production by T cells	IL-12 release|ELISA	An assay of epitope specific interleukin-12 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-12 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-1 beta production by T cells	IL-1b release|ELISA	An assay of epitope specific interleukin-1 beta production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-17 production by T cells	IL-17 release|ELISA	An assay of epitope specific interleukin-17 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-17 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-18 production by T cells	IL-18 release|ELISA	An assay of epitope specific interleukin-18 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-18 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
